npi,name,state,pecos_provider_type,pecos_codes,pecos_resolved_nucc,nppes_nucc,nppes_lookup_url
1144542234,"LEIATO, ABRAHAM",AS,PRACTITIONER - EMERGENCY MEDICINE,14-93,"146E00000X,207P00000X,207PE0004X,207PE0005X,207PH0002X+3",363A00000X,https://npiregistry.cms.hhs.gov/provider-view/1144542234
1144704586,"HOPE DIALYSIS CENTER, INC.",AS,PART A PROVIDER - END-STAGE RENAL DISEASE FACILITY (ESRD),00-03,"207K00000X,207KA0200X,207KI0005X",261QE0700X,https://npiregistry.cms.hhs.gov/provider-view/1144704586
1194118976,"LAITITI, SALOFI",AS,PRACTITIONER - OPHTHALMOLOGY,14-18,"207W00000X,207WX0009X,207WX0107X,207WX0109X,207WX0110X+2",207R00000X,https://npiregistry.cms.hhs.gov/provider-view/1194118976
1225009350,"LETARTE, JEAN",AS,PRACTITIONER - NEPHROLOGY,14-39,207RN0300X,174400000X,https://npiregistry.cms.hhs.gov/provider-view/1225009350
1366835142,"LIAINA, IANETA",AS,PRACTITIONER - OBSTETRICS/GYNECOLOGY,14-16,"207V00000X,207VB0002X,207VC0200X,207VC0300X,207VE0102X+6",207R00000X,https://npiregistry.cms.hhs.gov/provider-view/1366835142
1447684287,"TRAILL, SITIVENI",AS,PRACTITIONER - ORTHOPEDIC SURGERY,14-20,"207X00000X,207XP3100X,207XS0106X,207XS0114X,207XS0117X+3",208600000X,https://npiregistry.cms.hhs.gov/provider-view/1447684287
1467842559,"TITIIMAEA, ELIA",AS,PRACTITIONER - INTERNAL MEDICINE,14-11,"207QB0505X,207R00000X,207RA0000X,207RA0001X,207RA0201X+21",207Q00000X,https://npiregistry.cms.hhs.gov/provider-view/1467842559
1538552302,"POROTESANO, FIATELE",AS,PRACTITIONER - EMERGENCY MEDICINE,14-93,"146E00000X,207P00000X,207PE0004X,207PE0005X,207PH0002X+3",207R00000X,https://npiregistry.cms.hhs.gov/provider-view/1538552302
1558818229,"SUNIA, AITOFELE",AS,PRACTITIONER - INTERNAL MEDICINE,14-11,"207QB0505X,207R00000X,207RA0000X,207RA0001X,207RA0201X+21",207L00000X,https://npiregistry.cms.hhs.gov/provider-view/1558818229
1598158370,"INOKE-BESETIMOALA, LAVENIA",AS,PRACTITIONER - EMERGENCY MEDICINE,14-93,"146E00000X,207P00000X,207PE0004X,207PE0005X,207PH0002X+3",207R00000X,https://npiregistry.cms.hhs.gov/provider-view/1598158370
1609361641,"LINCOLN, JAY",AS,PRACTITIONER - PSYCHIATRY,14-26,"2084P0301X,2084P0800X",207Q00000X,https://npiregistry.cms.hhs.gov/provider-view/1609361641
1629213749,AMERICAN SAMOA MEDICAL CENTER,AS,PART A PROVIDER - HOSPITAL,00-09,208VP0014X,"282N00000X,282NR1301X",https://npiregistry.cms.hhs.gov/provider-view/1629213749
1659843019,"DE LEON, JOSELITO",AS,PRACTITIONER - GENERAL PRACTICE | PRACTITIONER - INTERNAL MEDICINE,"14-01,14-11","207QB0505X,207R00000X,207RA0000X,207RA0001X,207RA0201X+22",207P00000X,https://npiregistry.cms.hhs.gov/provider-view/1659843019
1861549321,AMERICAN SAMOA MEDICAL CENTER,AS,PART A PROVIDER - END-STAGE RENAL DISEASE FACILITY (ESRD),00-03,"207K00000X,207KA0200X,207KI0005X","281P00000X,282N00000X",https://npiregistry.cms.hhs.gov/provider-view/1861549321
1871940916,"ADIP, PREM MONITA",AS,PRACTITIONER - FAMILY PRACTICE,14-08,"207Q00000X,207QA0000X,207QA0401X,207QA0505X,207QB0002X+5",207R00000X,https://npiregistry.cms.hhs.gov/provider-view/1871940916
1891925277,"NIUMATAIWALU, KOLINIO",AS,PRACTITIONER - ANESTHESIOLOGY,14-05,"207L00000X,207LA0401X,207LC0200X,207LH0002X,207LP2900X+1",367H00000X,https://npiregistry.cms.hhs.gov/provider-view/1891925277
